64 0.2992 0.3127
100 0.3009 0.3487
128 0.3015 0.3711
200 0.3153 0.3818
256 0.2967 0.3842
512 0.3474 0.3401
600 0.2838 0.3157
900 0.2758 0.3057
1024 0.3152 0.3082
2000 0.2906 0.306
2048 0.3172 0.2969
3000 0.2833 0.2456
4000 0.2835 0.2459
