100000000 12513.9177 13486.8201
10000000 12638.1882 12909.2315
1000000 13618.4498 13143.7731
100000 13537.0401 15249.7667
10000 12468.4971 12945.6972
1024 12798.0296 13659.7528
128 11197.0737 10952.9748
2000 13578.3351 11092.3475
200 12204.8621 12691.5851
256 12364.1581 11677.8377
3000 16182.7363 11298.4412
4096 13510.46 12788.7509
50000 12627.593 12714.2962
512 11881.2941 13246.5027
6000 12923.7925 12206.6968
600 12043.2932 12081.6058
64 17803.2874 13029.6521
7000 11967.2413 10511.4456
800 11777.8438 11826.3858
